Name,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Team
VIRAT KOLHI,2008,12,165,157,11,15,105.1,38,0,0,18,4,45.2,Royal Challengers Bangalore
VIRAT KOLHI,2009,17,325,270,14,23.2,120.4,50,1,0,34,8,38.5,Royal Challengers Bangalore
VIRAT KOLHI,2010,17,420,284,14,30,147.9,58,1,0,36,16,27.5,Royal Challengers Bangalore
VIRAT KOLHI,2011,22,789,619,17,46.4,127.5,84,6,0,78,26,37.8,Royal Challengers Bangalore
VIRAT KOLHI,2012,15,364,326,13,28,111.7,73,2,0,33,10,39.6,Royal Challengers Bangalore
VIRAT KOLHI,2013,16,634,457,14,45.3,138.7,99,6,0,64,22,35.9,Royal Challengers Bangalore
VIRAT KOLHI,2014,14,359,294,13,27.6,122.1,73,2,0,23,16,36.4,Royal Challengers Bangalore
VIRAT KOLHI,2015,16,505,386,11,45.9,130.8,82,3,0,35,23,36,Royal Challengers Bangalore
VIRAT KOLHI,2016,16,973,640,12,81.1,152,113,7,4,84,38,26.4,Royal Challengers Bangalore
VIRAT KOLHI,2017,10,308,252,10,30.8,122.2,64,4,0,23,11,35.7,Royal Challengers Bangalore
VIRAT KOLHI,2018,14,530,381,11,48.2,139.1,92,4,0,52,18,31.8,Royal Challengers Bangalore
VIRAT KOLHI,2019,14,464,328,14,33.1,141.5,100,2,1,46,13,28.4,Royal Challengers Bangalore
VIRAT KOLHI,2020,15,466,384,11,42.4,121.4,90,3,0,23,11,26,Royal Challengers Bangalore
AB DE VILLIERS,2008,6,95,98,5,19,96.9,26,0,0,5,1,39.8,Royal Challengers Bangalore
AB DE VILLIERS,2009,13,465,355,9,51.7,131,105,3,1,39,12,30.4,Royal Challengers Bangalore
AB DE VILLIERS,2010,7,111,119,7,15.9,93.3,45,0,0,7,0,36.1,Royal Challengers Bangalore
AB DE VILLIERS,2011,14,343,268,10,34.3,128,65,2,0,22,16,33.6,Royal Challengers Bangalore
AB DE VILLIERS,2012,13,319,198,8,39.9,161.1,64,3,0,26,15,27.3,Royal Challengers Bangalore
